SMI,Date
1874.2,1991-11-01
1880.1,1991-11-04
1880.1,1991-11-05
1907.7,1991-11-06
1920.5,1991-11-07
1937.3,1991-11-08
1936.8,1991-11-11
1949.1,1991-11-12
1963.7,1991-11-13
1950.8,1991-11-14
1953.5,1991-11-15
1945.0,1991-11-18
1921.1,1991-11-19
1939.1,1991-11-20
1928.0,1991-11-21
1933.4,1991-11-22
1925.7,1991-11-25
1931.7,1991-11-26
1928.7,1991-11-27
1924.5,1991-11-28
1914.2,1991-11-29
1914.2,1991-12-02
1920.6,1991-12-03
1923.3,1991-12-04
1930.4,1991-12-05
1915.2,1991-12-06
1916.9,1991-12-09
1913.8,1991-12-10
1913.8,1991-12-11
1899.7,1991-12-12
1888.0,1991-12-13
1868.8,1991-12-16
1879.9,1991-12-17
1865.7,1991-12-18
1881.3,1991-12-19
1873.1,1991-12-20
1862.5,1991-12-23
1869.3,1991-12-24
1846.9,1991-12-25
1847.1,1991-12-26
1838.3,1991-12-27
1845.8,1991-12-30
1835.5,1991-12-31
1846.6,1992-01-01
1854.8,1992-01-02
1845.3,1992-01-03
1854.5,1992-01-06
1870.5,1992-01-07
1862.6,1992-01-08
1856.6,1992-01-09
1837.6,1992-01-10
1846.7,1992-01-13
1856.5,1992-01-14
1841.8,1992-01-15
1835.0,1992-01-16
1844.4,1992-01-17
1838.9,1992-01-20
1805.6,1992-01-21
1756.6,1992-01-22
1786.1,1992-01-23
1757.1,1992-01-24
1762.8,1992-01-27
1756.8,1992-01-28
1761.9,1992-01-29
1778.5,1992-01-30
1812.7,1992-01-31
1806.1,1992-02-03
1798.1,1992-02-04
1794.9,1992-02-05
1805.4,1992-02-06
1820.3,1992-02-07
1819.6,1992-02-10
1809.6,1992-02-11
1799.9,1992-02-12
1800.3,1992-02-13
1793.3,1992-02-14
1784.8,1992-02-17
1791.7,1992-02-18
1800.2,1992-02-19
1788.6,1992-02-20
1775.7,1992-02-21
1753.5,1992-02-24
1768.2,1992-02-25
1727.9,1992-02-26
1709.6,1992-02-27
1704.6,1992-02-28
1740.6,1992-03-02
1745.7,1992-03-03
1751.7,1992-03-04
1747.3,1992-03-05
1757.8,1992-03-06
1774.2,1992-03-09
1774.4,1992-03-10
1788.3,1992-03-11
1788.0,1992-03-12
1779.1,1992-03-13
1792.8,1992-03-16
1812.0,1992-03-17
1872.1,1992-03-18
1851.4,1992-03-19
1873.4,1992-03-20
1889.6,1992-03-23
1897.5,1992-03-24
1888.8,1992-03-25
1900.4,1992-03-26
1913.4,1992-03-27
1909.9,1992-03-30
1910.8,1992-03-31
1879.2,1992-04-01
1880.2,1992-04-02
1878.3,1992-04-03
1885.2,1992-04-06
1867.6,1992-04-07
1788.0,1992-04-08
1820.5,1992-04-09
1858.2,1992-04-10
1870.3,1992-04-13
1878.4,1992-04-14
1881.5,1992-04-15
1893.2,1992-04-16
1889.3,1992-04-17
1877.3,1992-04-20
1884.0,1992-04-21
1904.7,1992-04-22
1922.7,1992-04-23
1908.5,1992-04-24
1911.4,1992-04-27
1921.1,1992-04-28
1930.8,1992-04-29
1927.8,1992-04-30
1908.3,1992-05-01
1905.9,1992-05-04
1911.1,1992-05-05
1921.6,1992-05-06
1933.6,1992-05-07
1942.0,1992-05-08
1951.5,1992-05-11
1955.7,1992-05-12
1957.4,1992-05-13
1962.3,1992-05-14
1946.1,1992-05-15
1950.2,1992-05-18
1929.7,1992-05-19
1913.4,1992-05-20
1889.5,1992-05-21
1882.8,1992-05-22
1895.4,1992-05-25
1897.9,1992-05-26
1891.5,1992-05-27
1880.1,1992-05-28
1887.0,1992-05-29
1891.4,1992-06-01
1914.6,1992-06-02
1931.2,1992-06-03
1929.2,1992-06-04
1924.3,1992-06-05
1927.0,1992-06-08
1935.0,1992-06-09
1955.4,1992-06-10
1962.2,1992-06-11
1980.7,1992-06-12
1987.7,1992-06-15
1993.7,1992-06-16
2015.7,1992-06-17
2005.0,1992-06-18
2023.9,1992-06-19
2028.5,1992-06-22
2044.9,1992-06-23
2045.8,1992-06-24
2057.3,1992-06-25
2061.7,1992-06-26
2061.7,1992-06-29
2061.7,1992-06-30
2092.3,1992-07-01
2090.1,1992-07-02
2105.4,1992-07-03
2105.4,1992-07-06
2105.4,1992-07-07
2117.7,1992-07-08
2128.2,1992-07-09
2124.7,1992-07-10
2079.9,1992-07-13
2074.9,1992-07-14
2046.4,1992-07-15
2079.8,1992-07-16
2076.7,1992-07-17
2104.5,1992-07-20
2101.3,1992-07-21
2084.0,1992-07-22
2063.9,1992-07-23
2062.7,1992-07-24
2089.9,1992-07-27
2102.9,1992-07-28
2086.0,1992-07-29
2085.9,1992-07-30
2064.1,1992-07-31
2072.7,1992-08-03
2091.0,1992-08-04
2120.2,1992-08-05
2120.4,1992-08-06
2117.6,1992-08-07
2123.7,1992-08-10
2132.2,1992-08-11
2137.0,1992-08-12
2134.8,1992-08-13
2121.4,1992-08-14
2127.5,1992-08-17
2135.5,1992-08-18
2144.8,1992-08-19
2131.0,1992-08-20
2112.9,1992-08-21
2131.3,1992-08-24
2117.8,1992-08-25
2096.1,1992-08-26
2051.5,1992-08-27
2065.7,1992-08-28
2061.0,1992-08-31
2100.6,1992-09-01
2120.5,1992-09-02
2130.9,1992-09-03
2142.4,1992-09-04
2139.5,1992-09-07
2134.6,1992-09-08
2132.2,1992-09-09
2150.1,1992-09-10
2157.0,1992-09-11
2165.0,1992-09-14
2127.2,1992-09-15
2157.2,1992-09-16
2150.8,1992-09-17
2139.1,1992-09-18
2154.7,1992-09-21
2182.4,1992-09-22
2161.3,1992-09-23
2166.3,1992-09-24
2146.8,1992-09-25
2135.7,1992-09-28
2160.9,1992-09-29
2175.7,1992-09-30
2188.9,1992-10-01
2190.3,1992-10-02
2188.4,1992-10-05
2190.3,1992-10-06
2184.0,1992-10-07
2196.0,1992-10-08
2184.9,1992-10-09
2188.3,1992-10-12
2188.3,1992-10-13
2188.3,1992-10-14
2181.7,1992-10-15
2165.7,1992-10-16
2160.5,1992-10-19
2162.9,1992-10-20
2166.3,1992-10-21
2170.8,1992-10-22
2178.1,1992-10-23
2177.3,1992-10-26
2162.3,1992-10-27
2140.4,1992-10-28
2124.7,1992-10-29
2138.2,1992-10-30
2123.2,1992-11-02
2129.7,1992-11-03
2152.8,1992-11-04
2160.0,1992-11-05
2165.8,1992-11-06
2165.4,1992-11-09
2162.6,1992-11-10
2179.1,1992-11-11
2191.1,1992-11-12
2191.5,1992-11-13
2183.3,1992-11-16
2186.3,1992-11-17
2205.2,1992-11-18
2227.2,1992-11-19
2227.0,1992-11-20
2227.0,1992-11-23
2232.9,1992-11-24
2237.4,1992-11-25
2243.5,1992-11-26
2247.5,1992-11-27
2267.1,1992-11-30
2271.6,1992-12-01
2271.6,1992-12-02
2253.8,1992-12-03
2259.8,1992-12-04
2269.0,1992-12-07
2284.2,1992-12-08
2309.7,1992-12-09
2294.5,1992-12-10
2312.5,1992-12-11
2309.2,1992-12-14
2308.6,1992-12-15
2293.8,1992-12-16
2274.0,1992-12-17
2294.6,1992-12-18
2323.4,1992-12-21
2318.0,1992-12-22
2329.5,1992-12-23
2335.0,1992-12-24
2323.9,1992-12-25
2335.8,1992-12-28
2347.3,1992-12-29
2369.8,1992-12-30
2371.9,1992-12-31
2376.2,1993-01-01
2375.5,1993-01-04
2368.8,1993-01-05
2364.4,1993-01-06
2390.9,1993-01-07
2372.0,1993-01-08
2397.1,1993-01-11
2403.0,1993-01-12
2408.7,1993-01-13
2418.1,1993-01-14
2410.5,1993-01-15
2399.9,1993-01-18
2396.4,1993-01-19
2381.8,1993-01-20
2324.5,1993-01-21
2313.7,1993-01-22
2340.2,1993-01-25
2350.5,1993-01-26
2388.7,1993-01-27
2398.0,1993-01-28
2408.7,1993-01-29
2401.5,1993-02-01
2400.9,1993-02-02
2400.7,1993-02-03
2429.8,1993-02-04
2431.5,1993-02-05
2424.9,1993-02-08
2423.3,1993-02-09
2420.5,1993-02-10
2384.5,1993-02-11
2411.1,1993-02-12
2449.5,1993-02-15
2461.0,1993-02-16
2478.7,1993-02-17
2464.9,1993-02-18
2488.0,1993-02-19
2480.6,1993-02-22
2474.5,1993-02-23
2467.3,1993-02-24
2472.4,1993-02-25
2499.7,1993-02-26
2475.2,1993-03-01
2478.6,1993-03-02
2481.0,1993-03-03
2488.5,1993-03-04
2470.4,1993-03-05
2463.8,1993-03-08
2438.8,1993-03-09
2392.5,1993-03-10
2403.4,1993-03-11
2397.9,1993-03-12
2382.1,1993-03-15
2363.6,1993-03-16
2365.6,1993-03-17
2388.3,1993-03-18
2361.8,1993-03-19
2374.4,1993-03-22
2385.2,1993-03-23
2418.4,1993-03-24
2431.8,1993-03-25
2414.6,1993-03-26
2425.8,1993-03-29
2445.9,1993-03-30
2482.4,1993-03-31
2478.3,1993-04-01
2485.4,1993-04-02
2473.1,1993-04-05
2481.6,1993-04-06
2490.3,1993-04-07
2521.3,1993-04-08
2534.8,1993-04-09
2528.0,1993-04-12
2533.6,1993-04-13
2548.5,1993-04-14
2552.5,1993-04-15
2571.0,1993-04-16
2586.4,1993-04-19
2612.6,1993-04-20
2663.6,1993-04-21
2660.7,1993-04-22
2668.4,1993-04-23
2690.1,1993-04-26
2701.4,1993-04-27
2685.0,1993-04-28
2700.2,1993-04-29
2715.9,1993-04-30
2720.9,1993-05-03
2723.2,1993-05-04
2727.1,1993-05-05
2742.9,1993-05-06
2749.9,1993-05-07
2706.6,1993-05-10
2654.2,1993-05-11
2675.3,1993-05-12
2727.1,1993-05-13
2742.1,1993-05-14
2720.1,1993-05-17
2721.1,1993-05-18
2717.4,1993-05-19
2712.3,1993-05-20
2711.1,1993-05-21
2727.1,1993-05-24
2733.9,1993-05-25
2696.5,1993-05-26
2702.1,1993-05-27
2717.8,1993-05-28
2726.8,1993-05-31
2741.9,1993-06-01
2738.2,1993-06-02
2738.5,1993-06-03
2774.3,1993-06-04
2787.2,1993-06-07
2819.0,1993-06-08
2836.4,1993-06-09
2834.8,1993-06-10
2843.8,1993-06-11
2858.4,1993-06-14
2861.2,1993-06-15
2876.9,1993-06-16
2867.8,1993-06-17
2850.6,1993-06-18
2867.7,1993-06-21
2889.5,1993-06-22
2909.0,1993-06-23
2918.0,1993-06-24
2942.4,1993-06-25
2967.4,1993-06-28
2967.4,1993-06-29
2972.6,1993-06-30
2930.9,1993-07-01
2934.2,1993-07-02
2957.6,1993-07-05
2957.6,1993-07-06
2996.2,1993-07-07
2999.2,1993-07-08
3009.4,1993-07-09
3021.9,1993-07-12
3042.9,1993-07-13
3015.9,1993-07-14
3026.6,1993-07-15
2999.0,1993-07-16
2949.9,1993-07-19
2990.6,1993-07-20
3011.1,1993-07-21
3037.5,1993-07-22
3049.4,1993-07-23
3045.9,1993-07-26
3039.3,1993-07-27
3041.3,1993-07-28
3066.5,1993-07-29
3091.3,1993-07-30
3095.2,1993-08-02
3140.7,1993-08-03
3178.4,1993-08-04
3148.7,1993-08-05
3169.1,1993-08-06
3151.9,1993-08-09
3166.6,1993-08-10
3089.8,1993-08-11
3097.2,1993-08-12
3054.2,1993-08-13
3012.2,1993-08-16
3012.2,1993-08-17
2947.1,1993-08-18
2947.1,1993-08-19
2947.1,1993-08-20
3033.4,1993-08-23
3025.9,1993-08-24
2997.6,1993-08-25
2982.8,1993-08-26
3027.5,1993-08-27
2958.4,1993-08-30
2929.3,1993-08-31
2888.2,1993-09-01
2847.4,1993-09-02
2768.5,1993-09-03
2803.4,1993-09-06
2865.2,1993-09-07
2918.7,1993-09-08
2902.4,1993-09-09
2858.5,1993-09-10
2861.2,1993-09-13
2831.6,1993-09-14
2870.5,1993-09-15
2906.9,1993-09-16
2887.1,1993-09-17
2887.7,1993-09-20
2843.5,1993-09-21
2804.3,1993-09-22
2824.7,1993-09-23
2857.0,1993-09-24
2850.8,1993-09-27
2831.8,1993-09-28
2862.4,1993-09-29
2827.4,1993-09-30
2814.5,1993-10-01
2794.8,1993-10-04
2794.8,1993-10-05
2794.8,1993-10-06
2807.3,1993-10-07
2830.2,1993-10-08
2860.9,1993-10-11
2873.4,1993-10-12
2884.0,1993-10-13
2887.8,1993-10-14
2877.7,1993-10-15
2843.7,1993-10-18
2872.9,1993-10-19
2869.1,1993-10-20
2837.1,1993-10-21
2818.7,1993-10-22
2781.6,1993-10-25
2787.9,1993-10-26
2763.5,1993-10-27
2776.2,1993-10-28
2791.3,1993-10-29
2768.9,1993-11-01
2736.3,1993-11-02
2765.2,1993-11-03
2755.9,1993-11-04
2705.6,1993-11-05
2682.2,1993-11-08
2641.4,1993-11-09
2569.5,1993-11-10
2629.0,1993-11-11
2633.0,1993-11-12
2633.0,1993-11-15
2678.7,1993-11-16
2709.0,1993-11-17
2727.1,1993-11-18
2740.6,1993-11-19
2725.8,1993-11-22
2732.7,1993-11-23
2732.7,1993-11-24
2692.0,1993-11-25
2673.1,1993-11-26
2689.2,1993-11-29
2711.9,1993-11-30
2742.9,1993-12-01
2722.9,1993-12-02
2731.5,1993-12-03
2725.9,1993-12-06
2728.4,1993-12-07
2781.4,1993-12-08
2778.1,1993-12-09
2801.1,1993-12-10
2777.2,1993-12-13
2763.8,1993-12-14
2744.2,1993-12-15
2740.0,1993-12-16
2701.8,1993-12-17
2666.6,1993-12-20
2627.6,1993-12-21
2545.0,1993-12-22
2544.2,1993-12-23
2595.7,1993-12-24
2626.7,1993-12-27
2577.2,1993-12-28
2561.4,1993-12-29
2604.4,1993-12-30
2631.2,1993-12-31
2608.8,1994-01-03
2588.9,1994-01-04
2636.4,1994-01-05
2609.7,1994-01-06
2598.9,1994-01-07
2590.5,1994-01-10
2560.3,1994-01-11
2562.5,1994-01-12
2508.0,1994-01-13
2474.5,1994-01-14
2528.3,1994-01-17
2514.9,1994-01-18
2494.7,1994-01-19
2521.6,1994-01-20
2562.3,1994-01-21
2579.4,1994-01-24
2599.2,1994-01-25
2601.2,1994-01-26
2604.4,1994-01-27
2544.9,1994-01-28
2559.3,1994-01-31
2579.5,1994-02-01
2579.5,1994-02-02
2629.7,1994-02-03
2620.7,1994-02-04
2615.3,1994-02-07
2600.8,1994-02-08
2617.5,1994-02-09
2585.5,1994-02-10
2591.4,1994-02-11
2588.8,1994-02-14
2580.5,1994-02-15
2570.6,1994-02-16
2588.7,1994-02-17
2599.3,1994-02-18
2582.7,1994-02-21
2557.0,1994-02-22
2532.4,1994-02-23
2530.9,1994-02-24
2541.1,1994-02-25
2551.1,1994-02-28
2581.3,1994-03-01
2635.2,1994-03-02
2635.7,1994-03-03
2645.6,1994-03-04
2628.4,1994-03-07
2672.0,1994-03-08
2674.5,1994-03-09
2652.4,1994-03-10
2662.5,1994-03-11
2664.1,1994-03-14
2642.1,1994-03-15
2643.0,1994-03-16
2658.8,1994-03-17
2637.7,1994-03-18
2628.6,1994-03-21
2603.3,1994-03-22
2614.7,1994-03-23
2593.0,1994-03-24
2594.0,1994-03-25
2602.9,1994-03-28
2609.1,1994-03-29
2586.1,1994-03-30
2581.0,1994-03-31
2590.0,1994-04-01
2558.0,1994-04-04
2534.4,1994-04-05
2499.5,1994-04-06
2522.5,1994-04-07
2480.4,1994-04-08
2484.8,1994-04-11
2496.9,1994-04-12
2553.4,1994-04-13
2570.2,1994-04-14
2562.7,1994-04-15
2593.3,1994-04-18
2585.3,1994-04-19
2575.6,1994-04-20
2542.5,1994-04-21
2529.8,1994-04-22
2530.9,1994-04-25
2508.6,1994-04-26
2525.2,1994-04-27
2494.7,1994-04-28
2477.2,1994-04-29
2458.6,1994-05-02
2490.5,1994-05-03
2506.5,1994-05-04
2503.9,1994-05-05
2500.0,1994-05-06
2534.8,1994-05-09
2541.0,1994-05-10
2557.9,1994-05-11
2543.9,1994-05-12
2590.4,1994-05-13
2602.7,1994-05-16
2597.8,1994-05-17
2590.9,1994-05-18
2591.9,1994-05-19
2609.4,1994-05-20
2600.9,1994-05-23
2606.5,1994-05-24
2607.0,1994-05-25
2571.8,1994-05-26
2546.1,1994-05-27
2568.6,1994-05-30
2572.5,1994-05-31
2579.4,1994-06-01
2584.7,1994-06-02
2594.9,1994-06-03
2576.0,1994-06-06
2577.5,1994-06-07
2611.0,1994-06-08
2589.1,1994-06-09
2584.3,1994-06-10
2589.3,1994-06-13
2576.0,1994-06-14
2562.8,1994-06-15
2566.0,1994-06-16
2581.4,1994-06-17
2598.0,1994-06-20
2604.7,1994-06-21
2600.7,1994-06-22
2614.7,1994-06-23
2636.1,1994-06-24
2649.8,1994-06-27
2651.0,1994-06-28
2651.0,1994-06-29
2673.5,1994-06-30
2656.2,1994-07-01
2628.8,1994-07-04
2628.8,1994-07-05
2628.8,1994-07-06
2612.3,1994-07-07
2632.4,1994-07-08
2613.1,1994-07-11
2622.3,1994-07-12
2617.3,1994-07-13
2600.4,1994-07-14
2597.0,1994-07-15
2600.5,1994-07-18
2600.2,1994-07-19
2591.6,1994-07-20
2582.8,1994-07-21
2593.6,1994-07-22
2595.5,1994-07-25
2574.6,1994-07-26
2525.3,1994-07-27
2534.8,1994-07-28
2525.5,1994-07-29
2554.7,1994-08-01
2552.4,1994-08-02
2540.2,1994-08-03
2536.9,1994-08-04
2560.8,1994-08-05
2563.7,1994-08-08
2589.4,1994-08-09
2621.4,1994-08-10
2628.0,1994-08-11
2617.4,1994-08-12
2636.9,1994-08-15
2635.4,1994-08-16
2636.0,1994-08-17
2642.4,1994-08-18
2636.0,1994-08-19
2621.0,1994-08-22
2601.0,1994-08-23
2597.2,1994-08-24
2609.6,1994-08-25
2610.0,1994-08-26
2632.1,1994-08-29
2623.3,1994-08-30
2607.5,1994-08-31
2600.4,1994-09-01
2619.2,1994-09-02
2617.2,1994-09-05
2586.5,1994-09-06
2553.2,1994-09-07
2543.1,1994-09-08
2515.8,1994-09-09
2461.5,1994-09-12
2467.7,1994-09-13
2450.3,1994-09-14
2463.3,1994-09-15
2475.0,1994-09-16
2491.7,1994-09-19
2497.5,1994-09-20
2516.0,1994-09-21
2505.5,1994-09-22
2501.9,1994-09-23
2480.7,1994-09-26
2526.6,1994-09-27
2518.1,1994-09-28
2495.6,1994-09-29
2495.0,1994-09-30
2533.1,1994-10-03
2508.9,1994-10-04
2511.1,1994-10-05
2536.2,1994-10-06
2536.3,1994-10-07
2556.1,1994-10-10
2559.3,1994-10-11
2561.2,1994-10-12
2563.1,1994-10-13
2562.4,1994-10-14
2560.3,1994-10-17
2560.3,1994-10-18
2560.3,1994-10-19
2547.1,1994-10-20
2516.8,1994-10-21
2544.2,1994-10-24
2560.8,1994-10-25
2554.8,1994-10-26
2561.1,1994-10-27
2574.4,1994-10-28
2567.0,1994-10-31
2597.2,1994-11-01
2597.2,1994-11-02
2621.4,1994-11-03
2618.6,1994-11-04
2641.7,1994-11-07
2650.5,1994-11-08
2658.8,1994-11-09
2655.6,1994-11-10
2661.4,1994-11-11
2701.0,1994-11-14
2728.2,1994-11-15
2739.0,1994-11-16
2746.6,1994-11-17
2739.8,1994-11-18
2727.7,1994-11-21
2701.0,1994-11-22
2751.2,1994-11-23
2750.4,1994-11-24
2778.5,1994-11-25
2778.5,1994-11-28
2751.7,1994-11-29
2762.5,1994-11-30
2779.4,1994-12-01
2786.4,1994-12-02
2807.8,1994-12-05
2805.3,1994-12-06
2805.3,1994-12-07
2809.7,1994-12-08
2819.6,1994-12-09
2806.8,1994-12-12
2795.3,1994-12-13
2802.3,1994-12-14
2800.9,1994-12-15
2798.1,1994-12-16
2800.2,1994-12-19
2775.4,1994-12-20
2803.0,1994-12-21
2805.6,1994-12-22
2816.8,1994-12-23
2843.3,1994-12-26
2837.7,1994-12-27
2830.3,1994-12-28
2845.1,1994-12-29
2836.8,1994-12-30
2845.6,1995-01-02
2825.3,1995-01-03
2827.5,1995-01-04
2847.5,1995-01-05
2843.7,1995-01-06
2833.7,1995-01-09
2848.4,1995-01-10
2842.9,1995-01-11
2847.3,1995-01-12
2867.9,1995-01-13
2869.7,1995-01-16
2863.4,1995-01-17
2892.3,1995-01-18
2875.1,1995-01-19
2856.2,1995-01-20
2822.2,1995-01-23
2830.2,1995-01-24
2836.6,1995-01-25
2833.2,1995-01-26
2827.1,1995-01-27
2824.7,1995-01-30
2833.1,1995-01-31
2826.8,1995-02-01
2826.8,1995-02-02
2852.3,1995-02-03
2814.3,1995-02-06
2807.1,1995-02-07
2800.6,1995-02-08
2797.4,1995-02-09
2781.3,1995-02-10
2802.6,1995-02-13
2820.1,1995-02-14
2807.2,1995-02-15
2838.4,1995-02-16
2880.6,1995-02-17
2880.0,1995-02-20
2889.5,1995-02-21
2886.7,1995-02-22
2900.8,1995-02-23
2896.8,1995-02-24
2887.1,1995-02-27
2893.8,1995-02-28
2883.3,1995-03-01
2887.3,1995-03-02
2915.7,1995-03-03
2908.8,1995-03-06
2918.3,1995-03-07
2952.7,1995-03-08
2971.1,1995-03-09
2999.6,1995-03-10
2989.1,1995-03-13
2989.2,1995-03-14
2986.3,1995-03-15
2990.5,1995-03-16
3016.8,1995-03-17
3011.6,1995-03-20
3025.4,1995-03-21
3008.1,1995-03-22
3033.5,1995-03-23
3029.0,1995-03-24
3039.1,1995-03-27
2994.7,1995-03-28
3015.3,1995-03-29
3045.5,1995-03-30
3009.8,1995-03-31
3000.6,1995-04-03
3014.8,1995-04-04
3039.0,1995-04-05
3049.0,1995-04-06
3036.5,1995-04-07
3036.6,1995-04-10
3054.0,1995-04-11
3064.0,1995-04-12
3050.0,1995-04-13
3073.0,1995-04-14
3083.7,1995-04-17
3109.2,1995-04-18
3116.3,1995-04-19
3112.3,1995-04-20
3135.4,1995-04-21
3124.5,1995-04-24
3120.4,1995-04-25
3041.7,1995-04-26
3062.3,1995-04-27
3078.9,1995-04-28
3080.0,1995-05-01
3026.6,1995-05-02
3057.9,1995-05-03
3108.2,1995-05-04
3128.5,1995-05-05
3123.4,1995-05-08
3137.6,1995-05-09
3123.2,1995-05-10
3133.8,1995-05-11
3132.6,1995-05-12
3150.1,1995-05-15
3130.4,1995-05-16
3121.4,1995-05-17
3133.0,1995-05-18
3124.8,1995-05-19
3148.4,1995-05-22
3152.5,1995-05-23
3182.2,1995-05-24
3183.9,1995-05-25
3201.0,1995-05-26
3209.2,1995-05-29
3220.1,1995-05-30
3251.0,1995-05-31
3229.5,1995-06-01
3245.9,1995-06-02
3251.6,1995-06-05
3261.2,1995-06-06
3278.4,1995-06-07
3278.5,1995-06-08
3281.5,1995-06-09
3245.7,1995-06-12
3246.6,1995-06-13
3261.6,1995-06-14
3280.9,1995-06-15
3273.4,1995-06-16
3272.2,1995-06-19
3289.8,1995-06-20
