State,Quarter,Trips
Northern Territory,2014Q1,68.1794999
Northern Territory,2014Q2,301.6685534
Northern Territory,2014Q3,361.3301709
Northern Territory,2014Q4,104.74690860000001
Northern Territory,2015Q1,83.06558460000001
Northern Territory,2015Q2,240.15634649999998
Northern Territory,2015Q3,373.41624509999997
Northern Territory,2015Q4,162.64302500000002
Northern Territory,2016Q1,107.20114699999999
Northern Territory,2016Q2,250.614432
Northern Territory,2016Q3,427.260797
Northern Territory,2016Q4,105.7238658
Northern Territory,2017Q1,117.0515018
Northern Territory,2017Q2,272.047751
Northern Territory,2017Q3,289.1048137
Northern Territory,2017Q4,128.0273322
Queensland,1998Q1,2031.3633656
Queensland,1998Q2,1661.2998125
Queensland,1998Q3,2164.3517804000003
Queensland,1998Q4,1969.2065481
Queensland,1999Q1,2139.97239
Queensland,1999Q2,2194.2189365
Queensland,1999Q3,2311.4755381
Queensland,1999Q4,2006.7308667999998
Queensland,2000Q1,2129.0953210000002
Queensland,2000Q2,2170.1930573
Queensland,2000Q3,2141.94872
Queensland,2000Q4,2019.0022954
Queensland,2001Q1,1987.1567523
Queensland,2001Q2,2215.4783101
Queensland,2001Q3,2225.8515448
Queensland,2001Q4,2085.3108101
Queensland,2002Q1,2218.5098512
Queensland,2002Q2,1960.0575919
Queensland,2002Q3,2409.4326198
Queensland,2002Q4,2104.4655557
Queensland,2003Q1,2127.2532126
Queensland,2003Q2,2005.7097904
Queensland,2003Q3,2324.7854908
Queensland,2003Q4,2105.2368122
Queensland,2004Q1,2011.8474153
Queensland,2004Q2,2080.2266906
Queensland,2004Q3,2437.5698676
Queensland,2004Q4,1950.371442
Queensland,2005Q1,2159.5041273
Queensland,2005Q2,1865.8822782
Queensland,2005Q3,2215.0613422
Queensland,2005Q4,1808.045
Queensland,2006Q1,2209.855035
Queensland,2006Q2,2131.301362
Queensland,2006Q3,2111.116439
Queensland,2006Q4,2235.563463
Queensland,2007Q1,2179.2572255
Queensland,2007Q2,2340.735842
Queensland,2007Q3,2321.7739056
Queensland,2007Q4,2010.9335325
Queensland,2008Q1,2422.4887341
Queensland,2008Q2,2009.6581042999999
Queensland,2008Q3,2173.4772918
Queensland,2008Q4,2051.9577757
Queensland,2009Q1,2041.8500642000001
Queensland,2009Q2,1995.7146047
Queensland,2009Q3,2395.0880684
Queensland,2009Q4,1942.6775141
Queensland,2010Q1,1692.7440364
Queensland,2010Q2,2027.857641
Queensland,2010Q3,2430.2745905
Queensland,2010Q4,2111.0443829
Queensland,2011Q1,1506.8048268
Queensland,2011Q2,2025.799998
Queensland,2011Q3,2327.761535
Queensland,2011Q4,2133.2271192
Queensland,2012Q1,1813.8655794000001
Queensland,2012Q2,2012.8970484000001
Queensland,2012Q3,2330.5125857000003
Queensland,2012Q4,2271.0959687
Queensland,2013Q1,2096.0582919999997
Queensland,2013Q2,1923.0034884
Queensland,2013Q3,2235.6653366
Queensland,2013Q4,2105.7105295
Queensland,2014Q1,2136.4591171
Queensland,2014Q2,2237.3810124
Queensland,2014Q3,2237.2865989
Queensland,2014Q4,2086.5279013
Queensland,2015Q1,2015.3483473000001
Queensland,2015Q2,2072.6386268
Queensland,2015Q3,2538.6609929
Queensland,2015Q4,2172.6299418
Queensland,2016Q1,2248.39244
Queensland,2016Q2,2111.4383014
Queensland,2016Q3,2549.7251259
Queensland,2016Q4,2169.4565463
Queensland,2017Q1,2135.5778326
Queensland,2017Q2,2206.2359486
Queensland,2017Q3,2645.8095527
Queensland,2017Q4,2369.2570557
South Australia,1998Q1,877.023426
South Australia,1998Q2,671.2240323999999
South Australia,1998Q3,507.0043141
South Australia,1998Q4,741.2060376
South Australia,1999Q1,810.0476402
South Australia,1999Q2,780.8136135
South Australia,1999Q3,555.7439403
South Australia,1999Q4,654.5479429
South Australia,2000Q1,885.9573818
South Australia,2000Q2,572.4531814
South Australia,2000Q3,749.244965
South Australia,2000Q4,638.9447987
South Australia,2001Q1,766.1027653
South Australia,2001Q2,632.6144830999999
South Australia,2001Q3,554.1903475
South Australia,2001Q4,713.4785234999999
South Australia,2002Q1,756.2579172999999
South Australia,2002Q2,632.6894500999999
South Australia,2002Q3,530.0647687000001
South Australia,2002Q4,686.0457409
South Australia,2003Q1,701.2143940000001
South Australia,2003Q2,606.4647669
South Australia,2003Q3,506.5446828
South Australia,2003Q4,619.2695246000001
South Australia,2004Q1,824.9083992999999
South Australia,2004Q2,666.1849357
South Australia,2004Q3,546.0661446
South Australia,2004Q4,625.5880841
South Australia,2005Q1,721.2466252
South Australia,2005Q2,568.4258866
South Australia,2005Q3,552.5688444
South Australia,2005Q4,578.5748451
South Australia,2006Q1,857.981634
South Australia,2006Q2,719.468923
South Australia,2006Q3,494.037166
South Australia,2006Q4,629.135338
South Australia,2007Q1,814.2944001
South Australia,2007Q2,652.7080314
South Australia,2007Q3,563.0722976
South Australia,2007Q4,635.4789539
South Australia,2008Q1,843.1418246999999
South Australia,2008Q2,571.462275
South Australia,2008Q3,511.2553446
South Australia,2008Q4,591.6231231
South Australia,2009Q1,671.4848123
South Australia,2009Q2,626.4697216
South Australia,2009Q3,577.4036737
South Australia,2009Q4,630.5311069
South Australia,2010Q1,722.3890509
South Australia,2010Q2,573.2880839
South Australia,2010Q3,486.1126807
South Australia,2010Q4,643.0190715
South Australia,2011Q1,678.9068464
South Australia,2011Q2,746.7007733
South Australia,2011Q3,517.0253544
South Australia,2011Q4,626.711847
South Australia,2012Q1,751.3676256
South Australia,2012Q2,576.0172667
South Australia,2012Q3,510.3820589
South Australia,2012Q4,676.9315968
South Australia,2013Q1,768.7500515
South Australia,2013Q2,706.5818382
South Australia,2013Q3,506.6893123
South Australia,2013Q4,587.6503172
South Australia,2014Q1,819.1504201
South Australia,2014Q2,667.9868548
South Australia,2014Q3,507.9207727
South Australia,2014Q4,674.8054178
South Australia,2015Q1,858.9235556
South Australia,2015Q2,634.9254412
South Australia,2015Q3,561.6371493
South Australia,2015Q4,703.9765066
South Australia,2016Q1,817.5307639
South Australia,2016Q2,715.762157
South Australia,2016Q3,655.5851253999999
South Australia,2016Q4,624.7039533
South Australia,2017Q1,871.4839657
South Australia,2017Q2,692.6921306
South Australia,2017Q3,589.8177918
South Australia,2017Q4,789.7843718
Tasmania,1998Q1,632.5608998
Tasmania,1998Q2,413.6136288
Tasmania,1998Q3,166.1855387
Tasmania,1998Q4,403.952501
Tasmania,1999Q1,560.5314279
Tasmania,1999Q2,300.3507098
Tasmania,1999Q3,207.8556256
Tasmania,1999Q4,330.9213078
Tasmania,2000Q1,507.06481859999997
Tasmania,2000Q2,281.628809
Tasmania,2000Q3,266.2839864
Tasmania,2000Q4,367.6004619
Tasmania,2001Q1,545.8486141
Tasmania,2001Q2,409.8072049
Tasmania,2001Q3,194.858145
Tasmania,2001Q4,259.5861089
Tasmania,2002Q1,598.065372
Tasmania,2002Q2,289.8905768
Tasmania,2002Q3,190.0689189
Tasmania,2002Q4,395.2791746
Tasmania,2003Q1,515.9216514
Tasmania,2003Q2,447.6000593
Tasmania,2003Q3,178.4804298
Tasmania,2003Q4,364.5472272
Tasmania,2004Q1,708.0732002
Tasmania,2004Q2,386.6687993
Tasmania,2004Q3,146.14950679999998
Tasmania,2004Q4,423.3915392
Tasmania,2005Q1,654.9304162
Tasmania,2005Q2,325.30922749999996
Tasmania,2005Q3,178.47238140000002
Tasmania,2005Q4,304.8592578
Tasmania,2006Q1,592.510836
Tasmania,2006Q2,507.948452
Tasmania,2006Q3,201.41661
Tasmania,2006Q4,303.462604
Tasmania,2007Q1,659.2995155
Tasmania,2007Q2,384.809253
Tasmania,2007Q3,212.0029093
Tasmania,2007Q4,446.4162616
Tasmania,2008Q1,664.9308689
Tasmania,2008Q2,341.6817455
Tasmania,2008Q3,217.5938109
Tasmania,2008Q4,261.8670434
Tasmania,2009Q1,637.9619756
Tasmania,2009Q2,358.6088415
Tasmania,2009Q3,248.2385868
Tasmania,2009Q4,308.8588644
Tasmania,2010Q1,644.7726614
Tasmania,2010Q2,401.1122462
Tasmania,2010Q3,185.4225068
Tasmania,2010Q4,307.3492487
Tasmania,2011Q1,531.8826614
Tasmania,2011Q2,296.4140233
Tasmania,2011Q3,240.78203939999997
Tasmania,2011Q4,298.0185816
Tasmania,2012Q1,567.4315263999999
Tasmania,2012Q2,304.2923221
Tasmania,2012Q3,186.46505090000002
Tasmania,2012Q4,385.4534602
Tasmania,2013Q1,651.2624973
Tasmania,2013Q2,328.2237723
Tasmania,2013Q3,235.93839020000001
Tasmania,2013Q4,328.6308481
Tasmania,2014Q1,592.987004
Tasmania,2014Q2,505.3995045
Tasmania,2014Q3,188.8952001
Tasmania,2014Q4,393.1409695
Tasmania,2015Q1,717.1030071
Tasmania,2015Q2,302.6643651
Tasmania,2015Q3,200.0061624
Tasmania,2015Q4,474.5057051
Tasmania,2016Q1,690.1988992
Tasmania,2016Q2,366.6923143
Tasmania,2016Q3,228.9381221
Tasmania,2016Q4,466.6112491
Tasmania,2017Q1,727.8271734
Tasmania,2017Q2,448.9381383
Tasmania,2017Q3,280.31873740000003
Tasmania,2017Q4,446.9143632
Victoria,1998Q1,3203.6210302
Victoria,1998Q2,2257.8109386
Victoria,1998Q3,1898.3789665
Victoria,1998Q4,2003.7811505
Victoria,1999Q1,2919.4946218
Victoria,1999Q2,2182.719717
Victoria,1999Q3,1728.8584711
Victoria,1999Q4,1866.7339841
Victoria,2000Q1,2808.8485614
Victoria,2000Q2,2069.4567203
Victoria,2000Q3,1806.7165835
Victoria,2000Q4,1965.8074486
Victoria,2001Q1,3006.8541113
Victoria,2001Q2,2152.6558449999998
Victoria,2001Q3,1884.7832749000002
Victoria,2001Q4,1928.8929112
Victoria,2002Q1,2749.4000119
Victoria,2002Q2,2107.8395253
Victoria,2002Q3,1762.9448998999999
Victoria,2002Q4,1969.6204141
Victoria,2003Q1,2671.9471137
Victoria,2003Q2,2135.7702847
Victoria,2003Q3,1857.0142844
Victoria,2003Q4,1894.2226016
Victoria,2004Q1,2608.1601071
Victoria,2004Q2,2169.342597
Victoria,2004Q3,1775.4104151
Victoria,2004Q4,1841.2632782
Victoria,2005Q1,2778.1734673
Victoria,2005Q2,1782.8946584
Victoria,2005Q3,1607.571873
Victoria,2005Q4,1799.4744094
Victoria,2006Q1,3014.869587
Victoria,2006Q2,2074.065376
Victoria,2006Q3,1514.601386
Victoria,2006Q4,1916.076231
Victoria,2007Q1,2789.8717450999998
Victoria,2007Q2,2048.4956182
Victoria,2007Q3,1822.0303858
Victoria,2007Q4,2004.3257074
Victoria,2008Q1,3203.178186
Victoria,2008Q2,1845.1366992
Victoria,2008Q3,1842.0014288
Victoria,2008Q4,1917.4904155
Victoria,2009Q1,2535.0108917
Victoria,2009Q2,1933.2770042
Victoria,2009Q3,1903.2857393
Victoria,2009Q4,1817.9042104
Victoria,2010Q1,2661.6391671
Victoria,2010Q2,1930.9982121
Victoria,2010Q3,1777.139352
Victoria,2010Q4,1919.7612937
Victoria,2011Q1,2765.5982907
Victoria,2011Q2,2208.0195933
Victoria,2011Q3,1765.0645884
Victoria,2011Q4,2062.617286
Victoria,2012Q1,2881.963318
Victoria,2012Q2,2153.0168096
Victoria,2012Q3,1718.3633026999998
Victoria,2012Q4,2140.6811097
Victoria,2013Q1,2729.4782148
Victoria,2013Q2,2204.2895071000003
Victoria,2013Q3,1823.586186
Victoria,2013Q4,2191.3696332
Victoria,2014Q1,3008.1166562
Victoria,2014Q2,2360.5338879
Victoria,2014Q3,1867.6944528000001
Victoria,2014Q4,2210.4633888
Victoria,2015Q1,3094.0458049
Victoria,2015Q2,2350.292152
Victoria,2015Q3,2016.3758047000001
Victoria,2015Q4,2347.5173908
Victoria,2016Q1,3503.6647297
Victoria,2016Q2,2257.5440751
Victoria,2016Q3,2180.6753713
Victoria,2016Q4,2427.507223
Victoria,2017Q1,3649.5989371
Victoria,2017Q2,2494.0921319
Victoria,2017Q3,2241.6373831
Victoria,2017Q4,2907.0082015
Western Australia,1998Q1,772.5304837
Western Australia,1998Q2,719.6977679
Western Australia,1998Q3,754.9296216
Western Australia,1998Q4,813.8203184
Western Australia,1999Q1,943.027619
Western Australia,1999Q2,845.0692483
Western Australia,1999Q3,823.13084
Western Australia,1999Q4,697.4556004
Western Australia,2000Q1,905.4482205
Western Australia,2000Q2,904.5782639
Western Australia,2000Q3,671.5012764
Western Australia,2000Q4,715.9971685
Western Australia,2001Q1,709.2501422
Western Australia,2001Q2,738.4846875999999
Western Australia,2001Q3,761.6352883
Western Australia,2001Q4,812.5854115
Western Australia,2002Q1,871.0173229
Western Australia,2002Q2,772.7951393000001
Western Australia,2002Q3,788.5007637
Western Australia,2002Q4,643.1904959
Western Australia,2003Q1,846.2763889
Western Australia,2003Q2,714.0562926
Western Australia,2003Q3,722.1808378000001
Western Australia,2003Q4,765.7261993
Western Australia,2004Q1,941.6153251
Western Australia,2004Q2,685.4529537999999
Western Australia,2004Q3,772.0889136000001
Western Australia,2004Q4,726.8811191
Western Australia,2005Q1,817.3690724
Western Australia,2005Q2,645.5257632
Western Australia,2005Q3,649.5990505
Western Australia,2005Q4,624.3395333
Western Australia,2006Q1,863.379414
Western Australia,2006Q2,761.0779890000001
Western Australia,2006Q3,679.330909
Western Australia,2006Q4,799.358266
Western Australia,2007Q1,851.743152
Western Australia,2007Q2,786.3121765000001
Western Australia,2007Q3,701.9788715
Western Australia,2007Q4,762.1728187000001
Western Australia,2008Q1,899.8877742
Western Australia,2008Q2,653.8435603
Western Australia,2008Q3,735.9841702
Western Australia,2008Q4,655.3445568
Western Australia,2009Q1,747.5275376000001
Western Australia,2009Q2,642.4111008
Western Australia,2009Q3,570.1409693
Western Australia,2009Q4,583.5385842000001
Western Australia,2010Q1,636.0903494
Western Australia,2010Q2,627.1489687
Western Australia,2010Q3,602.5671645
Western Australia,2010Q4,567.0173747
Western Australia,2011Q1,732.6573668999999
Western Australia,2011Q2,647.6459302000001
Western Australia,2011Q3,612.5325574999999
Western Australia,2011Q4,665.9596334
Western Australia,2012Q1,778.8399103
Western Australia,2012Q2,679.9150946
Western Australia,2012Q3,628.5220328
Western Australia,2012Q4,691.6633265999999
Western Australia,2013Q1,917.725844
Western Australia,2013Q2,745.1224394000001
Western Australia,2013Q3,679.8861262
Western Australia,2013Q4,690.6981977
Western Australia,2014Q1,1265.7146059
Western Australia,2014Q2,1065.8000732
Western Australia,2014Q3,854.9871941
Western Australia,2014Q4,897.895984
Western Australia,2015Q1,1167.7514242000002
Western Australia,2015Q2,990.3224811
Western Australia,2015Q3,928.0220739
Western Australia,2015Q4,960.3365385
Western Australia,2016Q1,1165.7179928
Western Australia,2016Q2,1053.7724624
Western Australia,2016Q3,803.5156769
Western Australia,2016Q4,982.7525893
Western Australia,2017Q1,1134.3520193
Western Australia,2017Q2,997.8522245
Western Australia,2017Q3,879.9885327
Western Australia,2017Q4,1026.2859852000001
