Quarter,Beer,Tobacco,Bricks,Cement,Electricity,Gas
1966Q3,308.0,7202.0,362.0,966.0,11234.0,10.0
1966Q4,402.0,6599.0,337.0,922.0,9836.0,7.0
1967Q1,353.0,5801.0,306.0,836.0,9490.0,6.0
1967Q2,316.0,6771.0,358.0,998.0,10991.0,9.0
1967Q3,325.0,6837.0,359.0,1025.0,12170.0,10.0
1967Q4,405.0,6685.0,357.0,971.0,10470.0,7.0
1968Q1,393.0,6255.0,341.0,892.0,10087.0,6.0
1968Q2,319.0,6977.0,380.0,973.0,11858.0,9.0
1968Q3,327.0,7417.0,404.0,1047.0,13198.0,11.0
1968Q4,442.0,7075.0,409.0,1017.0,11413.0,8.0
1969Q1,383.0,6641.0,383.0,948.0,11136.0,7.0
1969Q2,332.0,7154.0,417.0,1032.0,13040.0,10.0
1969Q3,361.0,7929.0,454.0,1190.0,14248.0,13.0
1969Q4,446.0,7362.0,428.0,1136.0,12759.0,11.0
1970Q1,387.0,6807.0,386.0,1049.0,12328.0,12.0
1970Q2,357.0,7612.0,428.0,1134.0,14493.0,18.0
1970Q3,374.0,7862.0,434.0,1229.0,15664.0,23.0
1970Q4,466.0,7126.0,417.0,1188.0,13781.0,20.0
1971Q1,410.0,7255.0,385.0,1058.0,13299.0,19.0
1971Q2,370.0,8076.0,433.0,1209.0,15230.0,23.0
1971Q3,379.0,8405.0,453.0,1199.0,16667.0,28.0
1971Q4,487.0,7974.0,436.0,1253.0,14484.0,24.0
1972Q1,419.0,6500.0,399.0,1070.0,13838.0,24.0
1972Q2,378.0,7119.0,461.0,1282.0,15919.0,34.0
1972Q3,393.0,7367.0,476.0,1303.0,17149.0,40.0
1972Q4,506.0,7549.0,477.0,1281.0,15564.0,35.0
1973Q1,458.0,7168.0,452.0,1148.0,15024.0,34.0
1973Q2,387.0,7635.0,461.0,1305.0,17064.0,41.0
1973Q3,427.0,8446.0,534.0,1342.0,18512.0,48.0
1973Q4,565.0,7593.0,516.0,1452.0,16467.0,39.0
1974Q1,465.0,6823.0,478.0,1184.0,16249.0,38.0
1974Q2,445.0,7856.0,526.0,1352.0,18515.0,48.0
1974Q3,450.0,8574.0,518.0,1316.0,20377.0,52.0
1974Q4,556.0,8163.0,417.0,1353.0,17681.0,43.0
1975Q1,500.0,6971.0,340.0,1121.0,16692.0,39.0
1975Q2,452.0,8021.0,437.0,1297.0,19184.0,49.0
1975Q3,435.0,8133.0,459.0,1318.0,20078.0,55.0
1975Q4,554.0,8349.0,449.0,1281.0,18260.0,47.0
1976Q1,510.0,6687.0,424.0,1109.0,18023.0,44.0
1976Q2,433.0,7991.0,501.0,1299.0,20234.0,58.0
1976Q3,453.0,6900.0,540.0,1341.0,22272.0,65.0
1976Q4,548.0,7119.0,533.0,1290.0,19684.0,54.0
1977Q1,486.0,7156.0,457.0,1101.0,19031.0,49.0
1977Q2,453.0,8671.0,513.0,1284.0,21545.0,64.0
1977Q3,457.0,8459.0,522.0,1321.0,23270.0,74.0
1977Q4,566.0,7367.0,478.0,1317.0,20107.0,58.0
1978Q1,515.0,7219.0,421.0,1122.0,20084.0,56.0
1978Q2,464.0,7344.0,487.0,1261.0,22634.0,71.0
1978Q3,431.0,7314.0,470.0,1312.0,24494.0,78.0
1978Q4,588.0,7379.0,482.0,1298.0,21396.0,65.0
1979Q1,503.0,7084.0,458.0,1205.0,21323.0,59.0
1979Q2,443.0,7882.0,526.0,1302.0,23644.0,74.0
1979Q3,448.0,7816.0,573.0,1377.0,25994.0,88.0
1979Q4,555.0,6786.0,563.0,1359.0,22802.0,71.0
1980Q1,513.0,6794.0,513.0,1232.0,22604.0,68.0
1980Q2,427.0,8168.0,551.0,1386.0,24510.0,91.0
1980Q3,473.0,8097.0,589.0,1440.0,26690.0,103.0
1980Q4,526.0,7820.0,564.0,1439.0,24132.0,83.0
1981Q1,548.0,6437.0,519.0,1282.0,23639.0,88.0
1981Q2,440.0,7995.0,581.0,1573.0,26320.0,110.0
1981Q3,469.0,8238.0,581.0,1533.0,28345.0,120.0
1981Q4,575.0,8026.0,578.0,1641.0,24890.0,101.0
1982Q1,493.0,6697.0,501.0,1337.0,24675.0,93.0
1982Q2,433.0,7749.0,560.0,1575.0,27122.0,116.0
1982Q3,480.0,8043.0,512.0,1475.0,28590.0,127.0
1982Q4,576.0,7469.0,412.0,1357.0,25371.0,98.0
1983Q1,475.0,6559.0,303.0,1086.0,24687.0,92.0
1983Q2,405.0,7852.0,409.0,1158.0,27285.0,118.0
1983Q3,435.0,7449.0,420.0,1279.0,29290.0,124.0
1983Q4,535.0,6975.0,413.0,1313.0,26684.0,104.0
1984Q1,453.0,6631.0,400.0,1166.0,26641.0,97.0
1984Q2,430.0,6928.0,469.0,1373.0,29042.0,116.0
1984Q3,417.0,6542.0,482.0,1456.0,31856.0,130.0
1984Q4,552.0,6819.0,484.0,1495.0,28343.0,111.0
1985Q1,464.0,6033.0,447.0,1251.0,28982.0,103.0
1985Q2,417.0,7678.0,507.0,1456.0,30838.0,120.0
1985Q3,423.0,7341.0,533.0,1631.0,33165.0,132.0
1985Q4,554.0,6829.0,505.0,1555.0,29648.0,107.0
1986Q1,459.0,5733.0,442.0,1375.0,29506.0,98.0
1986Q2,428.0,7465.0,503.0,1546.0,32002.0,127.0
1986Q3,429.0,7780.0,506.0,1568.0,34375.0,137.0
1986Q4,534.0,7234.0,443.0,1561.0,31046.0,112.0
1987Q1,481.0,5765.0,414.0,1332.0,31015.0,106.0
1987Q2,416.0,7476.0,485.0,1458.0,33685.0,130.0
1987Q3,440.0,6742.0,495.0,1501.0,35850.0,158.0
1987Q4,538.0,7217.0,458.0,1615.0,33211.0,123.0
1988Q1,474.0,6034.0,428.0,1418.0,33142.0,116.0
1988Q2,440.0,7389.0,519.0,1625.0,34664.0,137.0
1988Q3,447.0,7077.0,555.0,1770.0,37154.0,157.0
1988Q4,598.0,6837.0,538.0,1791.0,35303.0,125.0
1989Q1,467.0,6051.0,510.0,1621.0,36905.0,117.0
1989Q2,439.0,7193.0,571.0,1719.0,37333.0,149.0
1989Q3,446.0,6639.0,556.0,1972.0,40413.0,175.0
1989Q4,567.0,7060.0,509.0,1894.0,36579.0,139.0
1990Q1,485.0,6562.0,458.0,1565.0,37016.0,125.0
1990Q2,441.0,7063.0,510.0,1645.0,39103.0,152.0
1990Q3,429.0,7374.0,494.0,1658.0,41067.0,161.0
1990Q4,599.0,6563.0,460.0,1668.0,37653.0,123.0
1991Q1,464.0,6202.0,372.0,1343.0,37554.0,111.0
1991Q2,424.0,6694.0,436.0,1441.0,38752.0,141.0
1991Q3,436.0,6748.0,422.0,1444.0,41424.0,160.0
1991Q4,574.0,6160.0,423.0,1497.0,38101.0,125.0
1992Q1,443.0,5777.0,383.0,1289.0,38332.0,117.0
1992Q2,410.0,5853.0,404.0,1501.0,39774.0,151.0
1992Q3,420.0,6416.0,446.0,1539.0,42246.0,175.0
1992Q4,532.0,5825.0,420.0,1568.0,38498.0,129.0
1993Q1,433.0,5724.0,394.0,1450.0,39460.0,116.0
1993Q2,421.0,6036.0,462.0,1668.0,41356.0,149.0
1993Q3,410.0,6570.0,475.0,1648.0,42949.0,163.0
1993Q4,512.0,5675.0,443.0,1863.0,40974.0,138.0
1994Q1,449.0,5311.0,421.0,1468.0,40162.0,127.0
1994Q2,381.0,5717.0,475.0,1755.0,41199.0,159.0
1994Q3,423.0,7000.0,497.0,1962.0,44095.0,184.0
1994Q4,531.0,6085.0,476.0,1833.0,41745.0,147.0
1995Q1,426.0,4714.0,430.0,1626.0,41768.0,131.0
1995Q2,408.0,3939.0,457.0,1703.0,43686.0,167.0
1995Q3,416.0,6137.0,417.0,1733.0,46022.0,181.0
1995Q4,520.0,4739.0,370.0,1545.0,42800.0,145.0
1996Q1,409.0,4275.0,310.0,1526.0,43661.0,133.0
1996Q2,398.0,5239.0,358.0,1593.0,44707.0,162.0
1996Q3,398.0,6293.0,379.0,1706.0,46326.0,184.0
1996Q4,507.0,5575.0,369.0,1699.0,43346.0,146.0
1997Q1,432.0,4802.0,330.0,1511.0,43938.0,135.0
1997Q2,398.0,5523.0,390.0,1785.0,45828.0,171.0
1997Q3,406.0,5708.0,416.0,1826.0,48448.0,183.0
1997Q4,526.0,4821.0,383.0,1830.0,46096.0,151.0
1998Q1,428.0,4919.0,339.0,1719.0,46198.0,141.0
1998Q2,397.0,5809.0,394.0,1861.0,47237.0,174.0
1998Q3,403.0,5904.0,412.0,1956.0,49041.0,191.0
1998Q4,517.0,4555.0,420.0,2067.0,46192.0,157.0
1999Q1,435.0,5198.0,376.0,1737.0,48089.0,145.0
1999Q2,383.0,5388.0,401.0,1944.0,48227.0,182.0
1999Q3,424.0,5142.0,430.0,2005.0,49784.0,198.0
1999Q4,521.0,5517.0,417.0,2027.0,47588.0,165.0
2000Q1,421.0,5169.0,416.0,1835.0,49320.0,164.0
2000Q2,402.0,4860.0,447.0,2070.0,50670.0,199.0
2000Q3,414.0,5185.0,421.0,1898.0,52623.0,213.0
2000Q4,500.0,4763.0,379.0,1652.0,49350.0,173.0
2001Q1,451.0,4217.0,304.0,1554.0,51658.0,177.0
2001Q2,380.0,4959.0,337.0,1717.0,51103.0,205.0
2001Q3,416.0,5196.0,385.0,1679.0,52226.0,218.0
2001Q4,492.0,4522.0,381.0,1836.0,50778.0,185.0
2002Q1,428.0,3843.0,345.0,1729.0,50639.0,166.0
2002Q2,408.0,4806.0,405.0,1992.0,51486.0,204.0
2002Q3,406.0,5280.0,417.0,2030.0,53299.0,228.0
2002Q4,506.0,4709.0,420.0,1978.0,51646.0,186.0
2003Q1,435.0,4362.0,387.0,1831.0,51415.0,172.0
2003Q2,380.0,5210.0,415.0,1892.0,51379.0,204.0
2003Q3,421.0,5258.0,440.0,2227.0,54808.0,232.0
2003Q4,490.0,4526.0,413.0,2090.0,52453.0,188.0
2004Q1,435.0,3974.0,409.0,1963.0,54561.0,173.0
2004Q2,390.0,5027.0,423.0,2180.0,54644.0,215.0
2004Q3,412.0,,428.0,2307.0,55915.0,227.0
2004Q4,454.0,,397.0,2157.0,52850.0,190.0
2005Q1,416.0,,355.0,1980.0,55035.0,170.0
2005Q2,403.0,,435.0,2481.0,55117.0,206.0
2005Q3,408.0,,,2340.0,56043.0,221.0
2005Q4,482.0,,,2265.0,54992.0,180.0
2006Q1,438.0,,,2027.0,57112.0,171.0
2006Q2,386.0,,,2278.0,57157.0,224.0
2006Q3,405.0,,,2427.0,58400.0,233.0
2006Q4,491.0,,,2451.0,56249.0,192.0
2007Q1,427.0,,,2140.0,56244.0,187.0
2007Q2,383.0,,,2362.0,55036.0,234.0
2007Q3,394.0,,,2536.0,59806.0,245.0
2007Q4,473.0,,,2562.0,56411.0,205.0
2008Q1,420.0,,,2183.0,59118.0,194.0
2008Q2,390.0,,,2558.0,56660.0,229.0
2008Q3,410.0,,,2612.0,64067.0,249.0
2008Q4,488.0,,,2373.0,59045.0,203.0
2009Q1,415.0,,,1963.0,58368.0,196.0
2009Q2,398.0,,,2160.0,57471.0,238.0
2009Q3,419.0,,,2325.0,58394.0,252.0
2009Q4,488.0,,,2273.0,57336.0,210.0
2010Q1,414.0,,,1904.0,58309.0,205.0
2010Q2,374.0,,,2401.0,58041.0,236.0
