Month,TotalC,Cost
1999-06-01,8165322.9799999995,8.16532298
1999-07-01,8717420.459999999,8.71742046
1999-08-01,9070963.78,9.07096378
1999-09-01,9177113.370000001,9.17711337
1999-10-01,9251886.739999998,9.251886739999998
1999-11-01,9933136.43,9.93313643
1999-12-01,11532974.28,11.53297428
2000-01-01,12511462.35,12.51146235
2000-02-01,7457198.529999999,7.457198529999999
2000-03-01,8591190.84,8.59119084
2000-04-01,8474000.37,8.474000369999999
2000-05-01,9386802.6,9.3868026
2000-06-01,9560399.45,9.560399449999998
2000-07-01,10834294.8,10.8342948
2000-08-01,10643750.83,10.64375083
2000-09-01,9908161.86,9.90816186
2000-10-01,11710041.3,11.7100413
2000-11-01,11340150.74,11.34015074
2000-12-01,12079131.84,12.07913184
2001-01-01,14497581.09,14.49758109
2001-02-01,8049274.77,8.04927477
2001-03-01,10312891.16,10.31289116
2001-04-01,9753358.209999999,9.753358209999998
2001-05-01,10850381.83,10.85038183
2001-06-01,9961719.16,9.96171916
2001-07-01,11443601.44,11.44360144
2001-08-01,11659238.889999999,11.65923889
2001-09-01,10647059.79,10.647059789999998
2001-10-01,12652134.44,12.65213444
2001-11-01,13674466.31,13.67446631
2001-12-01,12965735.09,12.965735089999999
2002-01-01,16300269.27,16.30026927
2002-02-01,9053485.36,9.05348536
2002-03-01,10002448.79,10.002448789999999
2002-04-01,10788750.07,10.78875007
2002-05-01,12106705.15,12.10670515
2002-06-01,10954101.07,10.95410107
2002-07-01,12844565.87,12.844565869999998
2002-08-01,12196499.85,12.19649985
2002-09-01,12854747.87,12.854747869999999
2002-10-01,13542004.36,13.54200436
2002-11-01,13287640.0,13.28764
2002-12-01,15134917.84,15.13491784
2003-01-01,16828349.68,16.82834968
2003-02-01,9800214.61,9.80021461
2003-03-01,10816993.709999999,10.816993709999998
2003-04-01,10654222.559999999,10.65422256
2003-05-01,12512322.69,12.51232269
2003-06-01,12161209.69,12.16120969
2003-07-01,12998046.2,12.9980462
2003-08-01,12517275.68,12.51727568
2003-09-01,13268657.610000001,13.268657610000002
2003-10-01,14733621.69,14.73362169
2003-11-01,13669381.74,13.66938174
2003-12-01,16503965.61,16.503965609999998
2004-01-01,18003767.95,18.00376795
2004-02-01,11938029.87,11.93802987
2004-03-01,12997900.1,12.997900099999999
2004-04-01,12882645.07,12.88264507
2004-05-01,13943446.81,13.943446810000001
2004-06-01,13989472.2,13.9894722
2004-07-01,15339097.419999998,15.339097419999998
2004-08-01,15370763.94,15.37076394
2004-09-01,16142005.0,16.142005
2004-10-01,16685754.0,16.685754
2004-11-01,17636728.0,17.636728
2004-12-01,18869325.0,18.869325
2005-01-01,20778723.0,20.778723
2005-02-01,12154552.0,12.154552
2005-03-01,13402392.0,13.402392
2005-04-01,14459239.0,14.459239
2005-05-01,14795102.0,14.795102
2005-06-01,15705248.0,15.705248
2005-07-01,15829550.0,15.82955
2005-08-01,17554701.0,17.554701
2005-09-01,18100864.0,18.100864
2005-10-01,17496668.0,17.496668
2005-11-01,19347265.0,19.347265
2005-12-01,20031291.0,20.031291
2006-01-01,23486694.0,23.486694
2006-02-01,12536987.0,12.536987
2006-03-01,15467018.0,15.467018
2006-04-01,14233539.0,14.233539
2006-05-01,17783058.0,17.783058
2006-06-01,16291602.0,16.291602
2006-07-01,16980282.0,16.980282
2006-08-01,18612189.0,18.612189
2006-09-01,16623343.0,16.623343
2006-10-01,21430241.0,21.430241
2006-11-01,23575517.0,23.575517
2006-12-01,23334206.0,23.334206
2007-01-01,28038383.0,28.038383
2007-02-01,16763869.0,16.763869
2007-03-01,19792754.0,19.792754
2007-04-01,16427305.0,16.427305
2007-05-01,21000742.0,21.000742
2007-06-01,20681002.0,20.681002
2007-07-01,21834890.0,21.83489
2007-08-01,23930203.529999997,23.930203529999996
2007-09-01,22930356.939999998,22.93035694
2007-10-01,23263339.92,23.263339920000004
2007-11-01,25250030.22,25.25003022
2007-12-01,25806090.0,25.80609
2008-01-01,29665356.0,29.665356
2008-02-01,21654285.0,21.654285
2008-03-01,18264945.0,18.264945
2008-04-01,23107677.0,23.107677
2008-05-01,22912510.0,22.91251
2008-06-01,19431740.0,19.43174
