Animal,State,Month,Count
Sheep,Victoria,1982-10,438000.0
Sheep,Victoria,1982-11,499200.0
Sheep,Victoria,1982-12,608200.0
Sheep,Victoria,1983-01,445700.0
Sheep,Victoria,1983-02,385400.0
Sheep,Victoria,1983-03,249900.0
Sheep,Victoria,1983-04,162400.0
Sheep,Victoria,1983-05,80500.0
Sheep,Victoria,1983-06,43000.0
Sheep,Victoria,1983-07,58700.0
Sheep,Victoria,1983-08,81600.0
Sheep,Victoria,1983-09,91600.0
Sheep,Victoria,1983-10,167700.0
Sheep,Victoria,1983-11,259399.99999999997
Sheep,Victoria,1983-12,234700.0
Sheep,Victoria,1984-01,313300.0
Sheep,Victoria,1984-02,271900.0
Sheep,Victoria,1984-03,185100.0
Sheep,Victoria,1984-04,140000.0
Sheep,Victoria,1984-05,131200.0
Sheep,Victoria,1984-06,125700.0
Sheep,Victoria,1984-07,141300.0
Sheep,Victoria,1984-08,153400.0
Sheep,Victoria,1984-09,179000.0
Sheep,Victoria,1984-10,332600.0
Sheep,Victoria,1984-11,343200.0
Sheep,Victoria,1984-12,279800.0
Sheep,Victoria,1985-01,402200.0
Sheep,Victoria,1985-02,414500.0
Sheep,Victoria,1985-03,353000.0
Sheep,Victoria,1985-04,281300.0
Sheep,Victoria,1985-05,250400.0
Sheep,Victoria,1985-06,170100.0
Sheep,Victoria,1985-07,163800.0
Sheep,Victoria,1985-08,141800.0
Sheep,Victoria,1985-09,218000.0
Sheep,Victoria,1985-10,320400.0
Sheep,Victoria,1985-11,411400.0
Sheep,Victoria,1985-12,388600.0
Sheep,Victoria,1986-01,425000.0
Sheep,Victoria,1986-02,486600.0
Sheep,Victoria,1986-03,396500.0
Sheep,Victoria,1986-04,375400.0
Sheep,Victoria,1986-05,270400.0
Sheep,Victoria,1986-06,265000.0
Sheep,Victoria,1986-07,257200.0
Sheep,Victoria,1986-08,297100.0
Sheep,Victoria,1986-09,312800.0
Sheep,Victoria,1986-10,408800.0
Sheep,Victoria,1986-11,390400.0
Sheep,Victoria,1986-12,400500.0
Sheep,Victoria,1987-01,392400.0
Sheep,Victoria,1987-02,422700.0
Sheep,Victoria,1987-03,357300.0
Sheep,Victoria,1987-04,265500.0
Sheep,Victoria,1987-05,190200.0
Sheep,Victoria,1987-06,162100.0
Sheep,Victoria,1987-07,173500.0
Sheep,Victoria,1987-08,151200.0
Sheep,Victoria,1987-09,249500.0
Sheep,Victoria,1987-10,427200.0
Sheep,Victoria,1987-11,445500.0
Sheep,Victoria,1987-12,445200.0
Sheep,Victoria,1988-01,380300.0
Sheep,Victoria,1988-02,441400.0
Sheep,Victoria,1988-03,372600.0
Sheep,Victoria,1988-04,210200.0
Sheep,Victoria,1988-05,137000.0
Sheep,Victoria,1988-06,95900.0
Sheep,Victoria,1988-07,116200.0
Sheep,Victoria,1988-08,156400.0
Sheep,Victoria,1988-09,140100.0
Sheep,Victoria,1988-10,239900.0
Sheep,Victoria,1988-11,381200.0
Sheep,Victoria,1988-12,317500.0
Sheep,Victoria,1989-01,366800.0
Sheep,Victoria,1989-02,388900.0
Sheep,Victoria,1989-03,292100.0
Sheep,Victoria,1989-04,249000.0
Sheep,Victoria,1989-05,221800.0
Sheep,Victoria,1989-06,182900.0
Sheep,Victoria,1989-07,140600.0
Sheep,Victoria,1989-08,228200.0
Sheep,Victoria,1989-09,235700.0
Sheep,Victoria,1989-10,251300.0
Sheep,Victoria,1989-11,305800.0
Sheep,Victoria,1989-12,269000.0
Sheep,Victoria,1990-01,354400.0
Sheep,Victoria,1990-02,351800.0
Sheep,Victoria,1990-03,341900.0
Sheep,Victoria,1990-04,284500.0
Sheep,Victoria,1990-05,329000.0
Sheep,Victoria,1990-06,233900.0
Sheep,Victoria,1990-07,232200.0
Sheep,Victoria,1990-08,237500.0
Sheep,Victoria,1990-09,233500.0
Sheep,Victoria,1990-10,338300.0
Sheep,Victoria,1990-11,398300.0
Sheep,Victoria,1990-12,402200.0
Sheep,Victoria,1991-01,496900.0
Sheep,Victoria,1991-02,525000.0
Sheep,Victoria,1991-03,373200.0
Sheep,Victoria,1991-04,315700.0
Sheep,Victoria,1991-05,293300.0
Sheep,Victoria,1991-06,208100.0
Sheep,Victoria,1991-07,251200.0
Sheep,Victoria,1991-08,167500.0
Sheep,Victoria,1991-09,173100.0
Sheep,Victoria,1991-10,416200.0
Sheep,Victoria,1991-11,412100.0
Sheep,Victoria,1991-12,388800.0
Sheep,Victoria,1992-01,446600.0
Sheep,Victoria,1992-02,458500.0
Sheep,Victoria,1992-03,432700.0
Sheep,Victoria,1992-04,368000.0
Sheep,Victoria,1992-05,348000.0
Sheep,Victoria,1992-06,291400.0
Sheep,Victoria,1992-07,274500.0
Sheep,Victoria,1992-08,191400.0
Sheep,Victoria,1992-09,199000.0
Sheep,Victoria,1992-10,309200.0
Sheep,Victoria,1992-11,383500.0
Sheep,Victoria,1992-12,352900.0
Sheep,Victoria,1993-01,308900.0
Sheep,Victoria,1993-02,290100.0
Sheep,Victoria,1993-03,367100.0
Sheep,Victoria,1993-04,347900.0
Sheep,Victoria,1993-05,368900.0
Sheep,Victoria,1993-06,329200.0
Sheep,Victoria,1993-07,338300.0
Sheep,Victoria,1993-08,228500.0
Sheep,Victoria,1993-09,256700.0
Sheep,Victoria,1993-10,284400.0
Sheep,Victoria,1993-11,362800.0
Sheep,Victoria,1993-12,474400.0
Sheep,Victoria,1994-01,412900.0
Sheep,Victoria,1994-02,422100.0
Sheep,Victoria,1994-03,395500.0
Sheep,Victoria,1994-04,312500.0
Sheep,Victoria,1994-05,292600.0
Sheep,Victoria,1994-06,195200.0
Sheep,Victoria,1994-07,187700.0
Sheep,Victoria,1994-08,202800.0
Sheep,Victoria,1994-09,251100.0
Sheep,Victoria,1994-10,340300.0
Sheep,Victoria,1994-11,414700.0
Sheep,Victoria,1994-12,351700.0
Sheep,Victoria,1995-01,339600.0
Sheep,Victoria,1995-02,330600.0
Sheep,Victoria,1995-03,295100.0
Sheep,Victoria,1995-04,182600.0
Sheep,Victoria,1995-05,186200.0
Sheep,Victoria,1995-06,147300.0
Sheep,Victoria,1995-07,150200.0
Sheep,Victoria,1995-08,160700.0
Sheep,Victoria,1995-09,197600.0
Sheep,Victoria,1995-10,279600.0
Sheep,Victoria,1995-11,279500.0
Sheep,Victoria,1995-12,209000.0
Sheep,Victoria,1996-01,247300.0
Sheep,Victoria,1996-02,261100.00000000003
Sheep,Victoria,1996-03,219500.0
Sheep,Victoria,1996-04,196200.0
Sheep,Victoria,1996-05,158500.0
Sheep,Victoria,1996-06,128800.00000000001
Sheep,Victoria,1996-07,125100.0
Sheep,Victoria,1996-08,183500.0
Sheep,Victoria,1996-09,184200.0
Sheep,Victoria,1996-10,253100.0
Sheep,Victoria,1996-11,252300.0
Sheep,Victoria,1996-12,276100.0
Sheep,Victoria,1997-01,325800.0
Sheep,Victoria,1997-02,306100.0
Sheep,Victoria,1997-03,235600.0
Sheep,Victoria,1997-04,262400.0
Sheep,Victoria,1997-05,226700.0
Sheep,Victoria,1997-06,175800.0
Sheep,Victoria,1997-07,192300.0
Sheep,Victoria,1997-08,195800.0
Sheep,Victoria,1997-09,234500.0
Sheep,Victoria,1997-10,322700.0
Sheep,Victoria,1997-11,310100.0
Sheep,Victoria,1997-12,340500.0
Sheep,Victoria,1998-01,339300.0
Sheep,Victoria,1998-02,367200.0
Sheep,Victoria,1998-03,327400.0
Sheep,Victoria,1998-04,267000.0
Sheep,Victoria,1998-05,184200.0
Sheep,Victoria,1998-06,204500.0
Sheep,Victoria,1998-07,220300.0
Sheep,Victoria,1998-08,190500.0
Sheep,Victoria,1998-09,216300.0
Sheep,Victoria,1998-10,284600.0
Sheep,Victoria,1998-11,291400.0
Sheep,Victoria,1998-12,252300.0
Sheep,Victoria,1999-01,256899.99999999997
Sheep,Victoria,1999-02,296000.0
Sheep,Victoria,1999-03,314300.0
Sheep,Victoria,1999-04,263900.0
Sheep,Victoria,1999-05,262600.0
Sheep,Victoria,1999-06,230400.0
Sheep,Victoria,1999-07,246100.0
Sheep,Victoria,1999-08,238900.0
Sheep,Victoria,1999-09,282600.0
Sheep,Victoria,1999-10,329100.0
Sheep,Victoria,1999-11,344200.0
Sheep,Victoria,1999-12,339100.0
Sheep,Victoria,2000-01,341000.0
Sheep,Victoria,2000-02,398800.0
Sheep,Victoria,2000-03,392600.0
Sheep,Victoria,2000-04,273000.0
Sheep,Victoria,2000-05,341000.0
Sheep,Victoria,2000-06,289600.0
Sheep,Victoria,2000-07,280300.0
Sheep,Victoria,2000-08,313000.0
Sheep,Victoria,2000-09,296800.0
Sheep,Victoria,2000-10,357100.0
Sheep,Victoria,2000-11,381000.0
Sheep,Victoria,2000-12,290300.0
Sheep,Victoria,2001-01,392000.0
Sheep,Victoria,2001-02,411000.0
Sheep,Victoria,2001-03,428500.0
Sheep,Victoria,2001-04,315200.0
Sheep,Victoria,2001-05,407900.0
Sheep,Victoria,2001-06,320300.0
Sheep,Victoria,2001-07,316700.0
Sheep,Victoria,2001-08,275200.0
Sheep,Victoria,2001-09,258399.99999999997
Sheep,Victoria,2001-10,379100.0
Sheep,Victoria,2001-11,389300.0
Sheep,Victoria,2001-12,312200.0
Sheep,Victoria,2002-01,387300.0
Sheep,Victoria,2002-02,371200.0
Sheep,Victoria,2002-03,315600.0
Sheep,Victoria,2002-04,289800.0
Sheep,Victoria,2002-05,293100.0
Sheep,Victoria,2002-06,231600.0
Sheep,Victoria,2002-07,280300.0
Sheep,Victoria,2002-08,276100.0
Sheep,Victoria,2002-09,320300.0
Sheep,Victoria,2002-10,403200.0
Sheep,Victoria,2002-11,383000.0
Sheep,Victoria,2002-12,325800.0
Sheep,Victoria,2003-01,384600.0
Sheep,Victoria,2003-02,346000.0
Sheep,Victoria,2003-03,279200.0
Sheep,Victoria,2003-04,237900.0
Sheep,Victoria,2003-05,225000.0
Sheep,Victoria,2003-06,179800.0
Sheep,Victoria,2003-07,165700.0
Sheep,Victoria,2003-08,163700.0
Sheep,Victoria,2003-09,211500.0
Sheep,Victoria,2003-10,275000.0
Sheep,Victoria,2003-11,259399.99999999997
Sheep,Victoria,2003-12,271700.0
Sheep,Victoria,2004-01,275600.0
Sheep,Victoria,2004-02,325400.0
Sheep,Victoria,2004-03,317100.0
Sheep,Victoria,2004-04,285900.0
Sheep,Victoria,2004-05,287000.0
Sheep,Victoria,2004-06,240900.0
Sheep,Victoria,2004-07,212900.0
Sheep,Victoria,2004-08,226300.0
Sheep,Victoria,2004-09,233500.0
Sheep,Victoria,2004-10,283200.0
Sheep,Victoria,2004-11,308800.0
Sheep,Victoria,2004-12,294600.0
Sheep,Victoria,2005-01,300600.0
Sheep,Victoria,2005-02,326200.0
Sheep,Victoria,2005-03,318500.0
Sheep,Victoria,2005-04,313500.0
Sheep,Victoria,2005-05,343800.0
Sheep,Victoria,2005-06,303600.0
Sheep,Victoria,2005-07,251700.0
Sheep,Victoria,2005-08,251500.0
Sheep,Victoria,2005-09,288000.0
Sheep,Victoria,2005-10,302100.0
Sheep,Victoria,2005-11,371500.0
Sheep,Victoria,2005-12,333600.0
Sheep,Victoria,2006-01,359000.0
Sheep,Victoria,2006-02,357700.0
Sheep,Victoria,2006-03,356700.0
Sheep,Victoria,2006-04,268100.0
Sheep,Victoria,2006-05,321200.0
Sheep,Victoria,2006-06,260899.99999999997
Sheep,Victoria,2006-07,244500.0
Sheep,Victoria,2006-08,284900.0
Sheep,Victoria,2006-09,297100.0
Sheep,Victoria,2006-10,412000.0
Sheep,Victoria,2006-11,455800.0
Sheep,Victoria,2006-12,394900.0
Sheep,Victoria,2007-01,451500.0
Sheep,Victoria,2007-02,418100.0
Sheep,Victoria,2007-03,360800.0
Sheep,Victoria,2007-04,246400.0
Sheep,Victoria,2007-05,238000.0
Sheep,Victoria,2007-06,174000.0
Sheep,Victoria,2007-07,161700.0
Sheep,Victoria,2007-08,222600.0
Sheep,Victoria,2007-09,272600.0
Sheep,Victoria,2007-10,358400.0
Sheep,Victoria,2007-11,350200.0
Sheep,Victoria,2007-12,293000.0
Sheep,Victoria,2008-01,343300.0
Sheep,Victoria,2008-02,356100.0
Sheep,Victoria,2008-03,291500.0
Sheep,Victoria,2008-04,278900.0
Sheep,Victoria,2008-05,250100.0
Sheep,Victoria,2008-06,217300.0
Sheep,Victoria,2008-07,230200.0
Sheep,Victoria,2008-08,247200.0
Sheep,Victoria,2008-09,316600.0
Sheep,Victoria,2008-10,341000.0
Sheep,Victoria,2008-11,273600.0
Sheep,Victoria,2008-12,266300.0
Sheep,Victoria,2009-01,254000.0
Sheep,Victoria,2009-02,295000.0
Sheep,Victoria,2009-03,326600.0
Sheep,Victoria,2009-04,241900.0
Sheep,Victoria,2009-05,234700.0
Sheep,Victoria,2009-06,176700.0
Sheep,Victoria,2009-07,197300.0
Sheep,Victoria,2009-08,199300.0
Sheep,Victoria,2009-09,232800.0
Sheep,Victoria,2009-10,243000.0
Sheep,Victoria,2009-11,277200.0
Sheep,Victoria,2009-12,287200.0
Sheep,Victoria,2010-01,246700.0
Sheep,Victoria,2010-02,259100.00000000003
Sheep,Victoria,2010-03,209500.0
Sheep,Victoria,2010-04,144700.0
Sheep,Victoria,2010-05,129000.0
Sheep,Victoria,2010-06,117400.0
Sheep,Victoria,2010-07,141200.0
Sheep,Victoria,2010-08,137500.0
Sheep,Victoria,2010-09,170700.0
Sheep,Victoria,2010-10,181400.0
Sheep,Victoria,2010-11,194800.0
Sheep,Victoria,2010-12,177200.0
Sheep,Victoria,2011-01,187700.0
Sheep,Victoria,2011-02,203800.0
Sheep,Victoria,2011-03,188200.0
Sheep,Victoria,2011-04,115700.0
Sheep,Victoria,2011-05,127200.0
Sheep,Victoria,2011-06,107400.0
Sheep,Victoria,2011-07,125800.0
Sheep,Victoria,2011-08,159100.0
Sheep,Victoria,2011-09,156900.0
Sheep,Victoria,2011-10,189900.0
Sheep,Victoria,2011-11,212600.0
Sheep,Victoria,2011-12,176600.0
Sheep,Victoria,2012-01,191100.0
Sheep,Victoria,2012-02,201400.0
Sheep,Victoria,2012-03,181500.0
Sheep,Victoria,2012-04,140000.0
Sheep,Victoria,2012-05,178600.0
Sheep,Victoria,2012-06,147700.0
Sheep,Victoria,2012-07,152400.0
Sheep,Victoria,2012-08,181000.0
Sheep,Victoria,2012-09,177100.0
Sheep,Victoria,2012-10,233700.0
Sheep,Victoria,2012-11,231000.0
Sheep,Victoria,2012-12,187500.0
Sheep,Victoria,2013-01,265400.0
Sheep,Victoria,2013-02,310100.0
Sheep,Victoria,2013-03,272700.0
Sheep,Victoria,2013-04,255800.0
Sheep,Victoria,2013-05,277200.0
Sheep,Victoria,2013-06,200400.0
Sheep,Victoria,2013-07,238900.0
Sheep,Victoria,2013-08,271200.0
Sheep,Victoria,2013-09,276700.0
Sheep,Victoria,2013-10,345400.0
Sheep,Victoria,2013-11,326600.0
Sheep,Victoria,2013-12,296700.0
Sheep,Victoria,2014-01,352400.0
Sheep,Victoria,2014-02,424500.0
Sheep,Victoria,2014-03,362600.0
Sheep,Victoria,2014-04,259700.0
Sheep,Victoria,2014-05,291900.0
Sheep,Victoria,2014-06,203100.0
Sheep,Victoria,2014-07,216400.0
Sheep,Victoria,2014-08,248600.0
Sheep,Victoria,2014-09,278200.0
Sheep,Victoria,2014-10,418500.0
Sheep,Victoria,2014-11,388100.0
Sheep,Victoria,2014-12,378900.0
Sheep,Victoria,2015-01,302400.0
Sheep,Victoria,2015-02,375200.0
Sheep,Victoria,2015-03,298200.0
Sheep,Victoria,2015-04,241500.0
Sheep,Victoria,2015-05,205700.0
Sheep,Victoria,2015-06,183000.0
Sheep,Victoria,2015-07,260800.0
Sheep,Victoria,2015-08,265500.0
Sheep,Victoria,2015-09,337300.0
Sheep,Victoria,2015-10,328000.0
Sheep,Victoria,2015-11,379400.0
Sheep,Victoria,2015-12,318300.0
Sheep,Victoria,2016-01,311300.0
Sheep,Victoria,2016-02,326200.0
Sheep,Victoria,2016-03,249000.0
Sheep,Victoria,2016-04,265800.0
Sheep,Victoria,2016-05,187500.0
Sheep,Victoria,2016-06,146800.0
Sheep,Victoria,2016-07,157400.0
Sheep,Victoria,2016-08,175100.0
Sheep,Victoria,2016-09,217000.0
Sheep,Victoria,2016-10,211500.0
Sheep,Victoria,2016-11,261300.0
Sheep,Victoria,2016-12,238800.0
Sheep,Victoria,2017-01,282700.0
Sheep,Victoria,2017-02,308300.0
Sheep,Victoria,2017-03,305800.0
Sheep,Victoria,2017-04,161100.0
Sheep,Victoria,2017-05,182300.0
Sheep,Victoria,2017-06,170400.0
Sheep,Victoria,2017-07,211000.0
Sheep,Victoria,2017-08,217000.0
Sheep,Victoria,2017-09,270600.0
Sheep,Victoria,2017-10,361100.0
Sheep,Victoria,2017-11,341000.0
Sheep,Victoria,2017-12,234000.0
Sheep,Victoria,2018-01,307300.0
Sheep,Victoria,2018-02,312000.0
Sheep,Victoria,2018-03,287300.0
Sheep,Victoria,2018-04,285600.0
Sheep,Victoria,2018-05,322600.0
Sheep,Victoria,2018-06,255800.0
Sheep,Victoria,2018-07,306200.0
Sheep,Victoria,2018-08,469900.0
Sheep,Victoria,2018-09,381900.0
Sheep,Victoria,2018-10,481700.0
Sheep,Victoria,2018-11,433100.0
Sheep,Victoria,2018-12,340700.0
